customer_id,tenure_months,contract_type,monthly_charges,support_tickets_30d,latest_support_log,text_negative_score,text_neutral_score,text_positive_score,churn
1016,2,Month-to-month,90.7,0,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.8758,0.1016,0.0226,1
1017,21,One year,103.36,2,The new feature release works beautifully. Kudos to the engineering team for the speed boost!,0.0137,0.0894,0.897,0
1018,33,Month-to-month,32.16,0,How can I download my annual tax invoice? I can't find the button on the settings page.,0.0692,0.7742,0.1566,0
1019,12,Two year,134.64,2,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.106,0.7315,0.1625,0
1020,22,Two year,141.84,1,Just checking if you support integration with external third-party webhooks yet.,0.1115,0.7317,0.1568,0
1021,25,Month-to-month,97.81,2,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.8664,0.104,0.0296,1
1022,27,One year,113.59,1,"Thanks for fixing that minor dashboard bug so quickly, everything runs great now.",0.0178,0.1758,0.8064,0
1023,28,One year,140.69,0,Just checking if you support integration with external third-party webhooks yet.,0.1027,0.712,0.1853,0
1024,16,Month-to-month,114.86,3,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.8383,0.1089,0.0528,0
1025,15,Two year,48.29,0,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.0652,0.8177,0.1171,1
1026,3,Month-to-month,99.14,0,Your service has constant downtime. My team can't access our dashboard during market hours.,0.9024,0.0318,0.0658,0
1027,7,One year,102.8,1,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.1263,0.6736,0.2001,0
1028,21,Month-to-month,80.89,3,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.8337,0.1058,0.0604,1
1029,9,Two year,118.36,5,"Thanks for fixing that minor dashboard bug so quickly, everything runs great now.",0.0316,0.0809,0.8876,1
1030,18,Month-to-month,142.11,0,How can I download my annual tax invoice? I can't find the button on the settings page.,0.1429,0.7615,0.0956,0
1031,4,Month-to-month,141.06,0,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.1187,0.7507,0.1306,0
1032,25,Two year,84.09,3,Looking for the official documentation regarding your authentication and security protocols.,0.1322,0.749,0.1188,0
1033,14,Month-to-month,43.58,0,Looking for the official documentation regarding your authentication and security protocols.,0.0899,0.721,0.1892,0
1034,9,Month-to-month,148.17,0,"Thanks for fixing that minor dashboard bug so quickly, everything runs great now.",0.0263,0.0565,0.9172,1
1035,26,Two year,130.66,1,Looking for the official documentation regarding your authentication and security protocols.,0.1112,0.6953,0.1935,0
1036,2,Two year,44.95,0,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.9316,0.0484,0.02,0
1037,20,Month-to-month,140.49,1,How can I download my annual tax invoice? I can't find the button on the settings page.,0.1147,0.751,0.1343,0
1038,28,One year,134.38,1,"Thanks for fixing that minor dashboard bug so quickly, everything runs great now.",0.0528,0.1116,0.8356,0
1039,7,Month-to-month,92.25,1,How can I download my annual tax invoice? I can't find the button on the settings page.,0.0128,0.8138,0.1734,0
1040,8,Month-to-month,100.94,1,Support resolved my account login issue within five minutes. Fantastic service as usual.,0.0493,0.118,0.8327,0
1041,35,Month-to-month,77.87,0,Looking for the official documentation regarding your authentication and security protocols.,0.076,0.794,0.1299,0
1042,14,One year,36.56,1,Extremely happy with the platform's performance this quarter. Keep up the good work.,0.0437,0.1109,0.8454,0
1043,17,One year,70.21,1,Support resolved my account login issue within five minutes. Fantastic service as usual.,0.014,0.225,0.761,0
1044,4,One year,126.33,3,Looking for the official documentation regarding your authentication and security protocols.,0.0574,0.7644,0.1782,0
1045,2,One year,30.55,1,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.7908,0.1061,0.1031,1
1046,6,Month-to-month,70.01,0,Extremely happy with the platform's performance this quarter. Keep up the good work.,0.0182,0.2048,0.777,0
1047,4,Month-to-month,77.77,1,"Thanks for fixing that minor dashboard bug so quickly, everything runs great now.",0.031,0.2081,0.7608,0
1048,29,Month-to-month,94.48,2,The UI update completely broke my active workflows. I am looking at alternative options.,0.8989,0.0171,0.084,1
1049,18,Month-to-month,140.37,1,How can I download my annual tax invoice? I can't find the button on the settings page.,0.0835,0.8394,0.0771,0
1050,26,Month-to-month,71.55,1,How can I download my annual tax invoice? I can't find the button on the settings page.,0.0694,0.7612,0.1694,0
1051,34,Two year,71.62,0,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.0666,0.8768,0.0566,0
1052,10,Month-to-month,118.49,1,How can I download my annual tax invoice? I can't find the button on the settings page.,0.0363,0.7963,0.1674,0
1053,14,Month-to-month,84.26,0,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.1031,0.8339,0.063,0
1054,31,Month-to-month,56.94,1,The new feature release works beautifully. Kudos to the engineering team for the speed boost!,0.004,0.1223,0.8737,0
1055,15,One year,84.28,3,The new feature release works beautifully. Kudos to the engineering team for the speed boost!,0.0323,0.1599,0.8078,0
1056,8,One year,46.89,0,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.0212,0.797,0.1819,0
1057,14,Month-to-month,51.16,0,Extremely happy with the platform's performance this quarter. Keep up the good work.,0.0209,0.1538,0.8253,0
1058,23,Month-to-month,89.79,2,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.8599,0.0802,0.0599,1
1059,21,One year,80.26,1,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.0387,0.8785,0.0828,0
1060,16,Month-to-month,139.77,3,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.8843,0.0683,0.0474,1
1061,18,One year,73.48,1,Extremely happy with the platform's performance this quarter. Keep up the good work.,0.0204,0.112,0.8675,0
1062,24,One year,99.66,1,"Smooth onboarding experience, everything is highly intuitive and well-documented.",0.0316,0.1765,0.7918,0
1063,26,Month-to-month,105.86,3,Your service has constant downtime. My team can't access our dashboard during market hours.,0.9271,0.0169,0.0561,0
1064,25,Month-to-month,31.56,2,Terrible customer service. I've asked for a refund three times on this disputed contract.,0.8365,0.0571,0.1064,1
1065,29,Two year,109.61,0,Extremely happy with the platform's performance this quarter. Keep up the good work.,0.0083,0.1663,0.8254,0
1066,15,Month-to-month,51.35,0,"Smooth onboarding experience, everything is highly intuitive and well-documented.",0.0143,0.2081,0.7776,0
1067,1,Month-to-month,145.32,0,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.8376,0.1448,0.0175,1
1068,25,One year,47.83,0,Just checking if you support integration with external third-party webhooks yet.,0.1407,0.7353,0.1241,0
1069,7,Two year,79.74,1,Extremely happy with the platform's performance this quarter. Keep up the good work.,0.016,0.1939,0.79,0
1070,9,Two year,40.23,2,Just checking if you support integration with external third-party webhooks yet.,0.0416,0.8308,0.1276,0
1071,24,One year,149.61,2,Looking for the official documentation regarding your authentication and security protocols.,0.072,0.8049,0.1231,0
1072,1,Month-to-month,90.25,2,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.9009,0.0667,0.0324,0
1073,8,Month-to-month,101.44,3,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.8947,0.1006,0.0047,1
1074,24,One year,38.04,1,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.0295,0.8258,0.1447,0
1075,11,Month-to-month,119.99,0,Looking for the official documentation regarding your authentication and security protocols.,0.1191,0.8198,0.0611,0
1076,17,Month-to-month,55.18,0,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.1498,0.7243,0.1258,0
1077,8,Two year,137.76,2,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.0793,0.7855,0.1352,0
1078,35,Month-to-month,54.61,2,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.8394,0.1031,0.0575,0
1079,35,Month-to-month,52.87,2,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.7696,0.1581,0.0723,1
1080,33,Month-to-month,34.38,2,The UI update completely broke my active workflows. I am looking at alternative options.,0.8024,0.1919,0.0057,1
1081,5,Month-to-month,86.64,3,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.8344,0.16,0.0056,0
1082,28,Month-to-month,97.77,1,Looking for the official documentation regarding your authentication and security protocols.,0.1444,0.6973,0.1583,0
1083,7,Month-to-month,37.88,2,The UI update completely broke my active workflows. I am looking at alternative options.,0.7562,0.1875,0.0563,1
1084,9,Month-to-month,123.05,2,The UI update completely broke my active workflows. I am looking at alternative options.,0.8076,0.1643,0.0281,1
1085,8,One year,84.38,0,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.1309,0.7166,0.1524,0
1086,12,One year,92.92,2,The new feature release works beautifully. Kudos to the engineering team for the speed boost!,0.0188,0.1938,0.7874,1
1087,34,Month-to-month,82.88,0,Just checking if you support integration with external third-party webhooks yet.,0.0912,0.751,0.1578,0
1088,33,Two year,78.08,1,The new feature release works beautifully. Kudos to the engineering team for the speed boost!,0.0357,0.1046,0.8597,1
1089,23,Month-to-month,97.15,2,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.877,0.0342,0.0889,0
1090,24,Month-to-month,48.62,2,Your service has constant downtime. My team can't access our dashboard during market hours.,0.8581,0.0357,0.1063,1
1091,35,Two year,51.82,1,Support resolved my account login issue within five minutes. Fantastic service as usual.,0.0421,0.2028,0.7551,1
1092,22,Month-to-month,133.4,0,Just checking if you support integration with external third-party webhooks yet.,0.1342,0.7695,0.0963,0
1093,27,Two year,143.52,2,"Thanks for fixing that minor dashboard bug so quickly, everything runs great now.",0.0269,0.2014,0.7718,0
1094,35,Month-to-month,74.79,1,Extremely happy with the platform's performance this quarter. Keep up the good work.,0.0193,0.1935,0.7873,0
1095,1,Two year,62.48,1,Your service has constant downtime. My team can't access our dashboard during market hours.,0.8641,0.1287,0.0072,0
1096,35,Month-to-month,107.27,2,Your service has constant downtime. My team can't access our dashboard during market hours.,0.7849,0.145,0.0701,1
1097,14,Two year,79.04,0,Looking for the official documentation regarding your authentication and security protocols.,0.1283,0.7696,0.1022,0
1098,3,Month-to-month,33.04,0,Your service has constant downtime. My team can't access our dashboard during market hours.,0.8452,0.1486,0.0062,1
1099,1,Two year,48.73,1,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.8623,0.1319,0.0058,1
1100,5,Month-to-month,115.91,2,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.8086,0.191,0.0004,1
1101,26,Month-to-month,109.06,2,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.7285,0.1882,0.0833,1
1102,14,Two year,33.24,0,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.0497,0.7809,0.1694,0
1103,27,Month-to-month,56.63,0,Just checking if you support integration with external third-party webhooks yet.,0.1244,0.8085,0.0671,0
1104,9,One year,57.72,2,How can I download my annual tax invoice? I can't find the button on the settings page.,0.13,0.7801,0.0899,0
1105,15,One year,110.62,4,How can I download my annual tax invoice? I can't find the button on the settings page.,0.0555,0.773,0.1715,0
1106,15,Month-to-month,32.36,0,"Smooth onboarding experience, everything is highly intuitive and well-documented.",0.042,0.1923,0.7657,0
1107,26,One year,42.48,0,Just checking if you support integration with external third-party webhooks yet.,0.1357,0.7954,0.0689,0
1108,13,Month-to-month,125.98,0,How can I download my annual tax invoice? I can't find the button on the settings page.,0.0178,0.8664,0.1158,0
1109,32,Two year,51.42,2,How can I download my annual tax invoice? I can't find the button on the settings page.,0.097,0.73,0.173,0
1110,32,Month-to-month,108.32,0,Looking for the official documentation regarding your authentication and security protocols.,0.0158,0.7853,0.1989,0
1111,4,Month-to-month,58.57,2,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.8209,0.138,0.0411,1
1112,30,Two year,41.92,1,"Smooth onboarding experience, everything is highly intuitive and well-documented.",0.0046,0.063,0.9324,0
1113,23,Two year,59.17,0,Looking for the official documentation regarding your authentication and security protocols.,0.0495,0.896,0.0545,0
1114,15,Month-to-month,116.66,2,Your service has constant downtime. My team can't access our dashboard during market hours.,0.9039,0.0431,0.053,1
1115,29,One year,132.67,3,How can I download my annual tax invoice? I can't find the button on the settings page.,0.1352,0.708,0.1568,0
1116,13,Month-to-month,129.62,1,Support resolved my account login issue within five minutes. Fantastic service as usual.,0.0326,0.1081,0.8593,0
1117,32,Month-to-month,77.65,1,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.1319,0.8057,0.0624,0
1118,7,Month-to-month,110.16,0,"Thanks for fixing that minor dashboard bug so quickly, everything runs great now.",0.0158,0.0637,0.9205,0
1119,22,Month-to-month,54.59,1,Just checking if you support integration with external third-party webhooks yet.,0.0972,0.7713,0.1316,0
1120,28,Month-to-month,65.17,0,Just checking if you support integration with external third-party webhooks yet.,0.1327,0.6767,0.1906,0
1121,2,Month-to-month,137.55,2,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.9237,0.0583,0.018,0
1122,6,Two year,31.55,1,Looking for the official documentation regarding your authentication and security protocols.,0.0455,0.7886,0.1658,0
1123,28,Two year,40.25,1,Support resolved my account login issue within five minutes. Fantastic service as usual.,0.0505,0.0998,0.8497,0
1124,28,One year,54.94,4,Just checking if you support integration with external third-party webhooks yet.,0.1213,0.7164,0.1623,0
1125,20,Month-to-month,33.17,3,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.8017,0.1453,0.053,1
1126,30,Month-to-month,51.76,3,The UI update completely broke my active workflows. I am looking at alternative options.,0.8102,0.1742,0.0157,1
1127,11,One year,99.95,1,Just checking if you support integration with external third-party webhooks yet.,0.0561,0.8155,0.1283,1
1128,28,One year,80.56,1,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.037,0.7881,0.1748,0
1129,25,Month-to-month,137.11,2,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.8778,0.1003,0.0219,1
1130,33,Two year,128.08,3,Looking for the official documentation regarding your authentication and security protocols.,0.0848,0.7716,0.1436,0
1131,1,One year,71.01,3,The UI update completely broke my active workflows. I am looking at alternative options.,0.8032,0.113,0.0838,0
1132,27,Two year,61.12,1,Just checking if you support integration with external third-party webhooks yet.,0.1074,0.7508,0.1417,0
1133,13,One year,75.55,3,The new feature release works beautifully. Kudos to the engineering team for the speed boost!,0.0082,0.2004,0.7914,0
1134,3,One year,100.83,1,Your service has constant downtime. My team can't access our dashboard during market hours.,0.8967,0.0547,0.0486,0
1135,6,Month-to-month,62.16,1,Support resolved my account login issue within five minutes. Fantastic service as usual.,0.0474,0.085,0.8676,0
1136,8,Two year,104.89,1,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.0569,0.7733,0.1698,0
1137,27,Two year,79.12,1,Just checking if you support integration with external third-party webhooks yet.,0.0444,0.8063,0.1493,0
1138,9,Month-to-month,96.24,1,Looking for the official documentation regarding your authentication and security protocols.,0.1018,0.8327,0.0655,0
1139,33,Month-to-month,82.33,0,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.1284,0.6924,0.1792,0
1140,24,Month-to-month,65.33,1,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.0525,0.8202,0.1273,0
1141,15,One year,143.8,0,"Smooth onboarding experience, everything is highly intuitive and well-documented.",0.0135,0.1207,0.8659,0
1142,32,Two year,121.62,2,"Thanks for fixing that minor dashboard bug so quickly, everything runs great now.",0.0261,0.1917,0.7823,1
1143,32,Month-to-month,46.8,1,Extremely happy with the platform's performance this quarter. Keep up the good work.,0.0121,0.1535,0.8344,0
1144,24,Month-to-month,134.21,2,The UI update completely broke my active workflows. I am looking at alternative options.,0.8344,0.1405,0.0251,1
1145,12,Month-to-month,88.48,0,Just checking if you support integration with external third-party webhooks yet.,0.0134,0.8296,0.157,0
1146,2,Two year,137.34,1,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.7868,0.1835,0.0297,0
1147,3,One year,125.97,1,The UI update completely broke my active workflows. I am looking at alternative options.,0.8494,0.1103,0.0403,1
1148,17,One year,81.02,2,Looking for the official documentation regarding your authentication and security protocols.,0.0528,0.7765,0.1707,0
1149,2,Month-to-month,32.69,3,The UI update completely broke my active workflows. I am looking at alternative options.,0.7816,0.1423,0.076,1
1150,2,Month-to-month,62.23,0,The UI update completely broke my active workflows. I am looking at alternative options.,0.9168,0.0481,0.0351,0
1151,28,Month-to-month,94.99,0,The new feature release works beautifully. Kudos to the engineering team for the speed boost!,0.0174,0.1041,0.8785,0
1152,23,Month-to-month,106.01,2,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.8676,0.0679,0.0644,0
1153,32,Two year,60.94,1,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.0908,0.8464,0.0628,0
1154,33,One year,46.71,2,Looking for the official documentation regarding your authentication and security protocols.,0.1332,0.7389,0.1279,0
1155,1,Two year,130.18,1,The UI update completely broke my active workflows. I am looking at alternative options.,0.9295,0.0495,0.021,1
1156,19,Two year,148.12,0,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.0213,0.8598,0.1189,0
1157,2,Month-to-month,93.07,1,Terrible customer service. I've asked for a refund three times on this disputed contract.,0.8096,0.1527,0.0377,1
1158,26,One year,50.59,1,The new feature release works beautifully. Kudos to the engineering team for the speed boost!,0.0149,0.1229,0.8622,0
1159,32,Two year,62.67,2,Just checking if you support integration with external third-party webhooks yet.,0.135,0.7655,0.0995,0
1160,6,One year,32.2,1,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.0709,0.8738,0.0553,0
1161,32,Month-to-month,139.71,0,How can I download my annual tax invoice? I can't find the button on the settings page.,0.1604,0.7392,0.1005,0
1162,4,Month-to-month,44.12,1,The new feature release works beautifully. Kudos to the engineering team for the speed boost!,0.0061,0.1523,0.8416,0
1163,11,Month-to-month,99.17,2,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.7485,0.1745,0.0771,1
1164,17,Two year,62.88,1,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.1405,0.7806,0.0789,0
1165,24,One year,96.49,3,Support resolved my account login issue within five minutes. Fantastic service as usual.,0.0441,0.0972,0.8587,0
1166,5,Month-to-month,108.16,0,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.0262,0.8259,0.1479,0
1167,34,One year,129.56,3,How can I download my annual tax invoice? I can't find the button on the settings page.,0.0686,0.7492,0.1821,0
1168,6,One year,54.76,1,Extremely happy with the platform's performance this quarter. Keep up the good work.,0.0386,0.0739,0.8875,0
1169,22,Month-to-month,31.31,0,Just checking if you support integration with external third-party webhooks yet.,0.0866,0.7605,0.153,0
1170,11,Month-to-month,46.42,1,Looking for the official documentation regarding your authentication and security protocols.,0.074,0.7613,0.1646,0
1171,16,One year,137.99,2,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.1389,0.6848,0.1763,0
1172,33,Month-to-month,134.86,0,Just checking if you support integration with external third-party webhooks yet.,0.0473,0.8116,0.1411,0
1173,9,One year,101.68,1,Extremely happy with the platform's performance this quarter. Keep up the good work.,0.0371,0.215,0.7479,0
1174,6,Month-to-month,102.05,2,Terrible customer service. I've asked for a refund three times on this disputed contract.,0.9344,0.0171,0.0485,1
1175,16,Two year,109.79,0,How can I download my annual tax invoice? I can't find the button on the settings page.,0.065,0.8046,0.1303,0
1176,29,Month-to-month,51.03,1,Support resolved my account login issue within five minutes. Fantastic service as usual.,0.0218,0.1886,0.7896,1
1177,3,Month-to-month,139.72,1,Terrible customer service. I've asked for a refund three times on this disputed contract.,0.8075,0.1318,0.0607,1
1178,20,Two year,80.24,2,Looking for the official documentation regarding your authentication and security protocols.,0.029,0.8615,0.1095,0
1179,19,Month-to-month,75.97,0,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.0707,0.8659,0.0634,0
1180,26,Month-to-month,92.26,0,How can I download my annual tax invoice? I can't find the button on the settings page.,0.1076,0.7847,0.1077,0
1181,3,Month-to-month,35.63,2,Terrible customer service. I've asked for a refund three times on this disputed contract.,0.8031,0.1393,0.0576,1
1182,19,One year,49.94,0,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.1144,0.7361,0.1495,0
1183,20,One year,118.55,1,Just checking if you support integration with external third-party webhooks yet.,0.0597,0.7785,0.1618,0
1184,32,One year,39.93,2,Looking for the official documentation regarding your authentication and security protocols.,0.0122,0.8993,0.0884,0
1185,7,Month-to-month,102.37,1,How can I download my annual tax invoice? I can't find the button on the settings page.,0.0988,0.8418,0.0594,0
1186,33,Month-to-month,59.43,2,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.845,0.0456,0.1094,1
1187,18,Month-to-month,76.71,1,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.1146,0.7825,0.1029,1
1188,1,Month-to-month,64.63,0,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.8282,0.142,0.0298,1
1189,11,Month-to-month,72.67,2,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.7842,0.1523,0.0635,1
1190,28,Month-to-month,116.28,0,The new feature release works beautifully. Kudos to the engineering team for the speed boost!,0.0248,0.1975,0.7777,0
1191,25,Month-to-month,65.64,0,The new feature release works beautifully. Kudos to the engineering team for the speed boost!,0.0233,0.1092,0.8676,0
1192,23,Two year,97.96,1,"Smooth onboarding experience, everything is highly intuitive and well-documented.",0.0317,0.1833,0.7851,0
1193,31,Month-to-month,87.12,1,The new feature release works beautifully. Kudos to the engineering team for the speed boost!,0.0398,0.0583,0.9019,1
1194,30,Month-to-month,109.63,1,"Thanks for fixing that minor dashboard bug so quickly, everything runs great now.",0.0038,0.2266,0.7696,0
1195,35,One year,142.41,1,The new feature release works beautifully. Kudos to the engineering team for the speed boost!,0.0324,0.0638,0.9038,0
1196,7,Month-to-month,117.9,1,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.0817,0.7447,0.1736,0
1197,16,One year,55.78,3,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.097,0.7795,0.1235,0
1198,26,Two year,33.73,1,How can I download my annual tax invoice? I can't find the button on the settings page.,0.0511,0.7802,0.1687,0
1199,2,Two year,61.46,3,Your service has constant downtime. My team can't access our dashboard during market hours.,0.8524,0.0892,0.0584,1
1200,1,Month-to-month,101.4,2,Terrible customer service. I've asked for a refund three times on this disputed contract.,0.8549,0.0961,0.049,1
1201,12,Two year,36.16,2,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.13,0.7492,0.1208,1
1202,5,Month-to-month,89.55,1,"Thanks for fixing that minor dashboard bug so quickly, everything runs great now.",0.0282,0.0669,0.9048,0
1203,32,Month-to-month,101.61,1,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.0662,0.868,0.0658,0
1204,9,Month-to-month,70.1,2,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.7702,0.1395,0.0903,0
1205,35,Two year,122.5,3,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.1275,0.6767,0.1958,0
1206,19,Month-to-month,42.78,1,How can I download my annual tax invoice? I can't find the button on the settings page.,0.0616,0.7592,0.1792,0
1207,16,Month-to-month,39.01,4,The UI update completely broke my active workflows. I am looking at alternative options.,0.8609,0.0841,0.055,0
1208,3,One year,117.37,1,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.8064,0.1856,0.0079,0
1209,20,Month-to-month,89.45,1,The new feature release works beautifully. Kudos to the engineering team for the speed boost!,0.0377,0.1629,0.7993,0
1210,24,Month-to-month,112.6,3,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.9509,0.0146,0.0345,1
1211,33,Month-to-month,82.17,1,Just checking if you support integration with external third-party webhooks yet.,0.0529,0.8532,0.0939,1
1212,24,Month-to-month,59.56,1,Just checking if you support integration with external third-party webhooks yet.,0.0983,0.8268,0.0749,1
1213,11,Month-to-month,128.28,2,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.8267,0.1622,0.0111,1
1214,8,Month-to-month,125.92,1,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.0851,0.8255,0.0894,1
1215,20,One year,113.35,2,Extremely happy with the platform's performance this quarter. Keep up the good work.,0.0158,0.1886,0.7955,0
1216,35,Month-to-month,62.65,3,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.8487,0.0951,0.0562,1
1217,25,Month-to-month,100.82,1,How can I download my annual tax invoice? I can't find the button on the settings page.,0.0427,0.811,0.1463,0
1218,35,Two year,73.31,2,"Thanks for fixing that minor dashboard bug so quickly, everything runs great now.",0.0312,0.1335,0.8353,0
1219,25,Month-to-month,40.98,3,Your service has constant downtime. My team can't access our dashboard during market hours.,0.8863,0.0333,0.0804,1
1220,29,One year,140.07,0,Looking for the official documentation regarding your authentication and security protocols.,0.1079,0.7298,0.1623,0
1221,18,Month-to-month,46.41,1,Looking for the official documentation regarding your authentication and security protocols.,0.0972,0.8155,0.0873,1
1222,18,Month-to-month,144.02,1,How can I download my annual tax invoice? I can't find the button on the settings page.,0.0733,0.848,0.0786,0
1223,2,Month-to-month,83.51,3,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.8178,0.1031,0.0791,1
1224,35,Month-to-month,52.21,3,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.8218,0.1026,0.0756,1
1225,16,Month-to-month,95.02,1,Support resolved my account login issue within five minutes. Fantastic service as usual.,0.0033,0.2197,0.777,0
1226,33,Month-to-month,134.74,1,Just checking if you support integration with external third-party webhooks yet.,0.0786,0.8145,0.1069,0
1227,4,Month-to-month,117.86,0,Just checking if you support integration with external third-party webhooks yet.,0.1442,0.7612,0.0946,0
1228,33,Month-to-month,126.78,1,Extremely happy with the platform's performance this quarter. Keep up the good work.,0.0371,0.1311,0.8318,1
1229,14,Month-to-month,109.04,0,Extremely happy with the platform's performance this quarter. Keep up the good work.,0.0165,0.1888,0.7947,0
1230,21,Month-to-month,113.06,0,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.1224,0.8154,0.0621,0
