customer_id,tenure_months,contract_type,monthly_charges,support_tickets_30d,latest_support_log,text_negative_score,text_neutral_score,text_positive_score,churn,nlp_frustration_score,nlp_disappointment_score,nlp_neutral_score,nlp_primary_aspect,nlp_urgency_score
1054,31,Month-to-month,56.94,1,The new feature release works beautifully. Kudos to the engineering team for the speed boost!,0.004,0.1223,0.8737,0,0.0,0.0,1.0,Positive Engagement,0.5584
1055,15,One year,84.28,3,The new feature release works beautifully. Kudos to the engineering team for the speed boost!,0.0323,0.1599,0.8078,0,0.0,0.0,1.0,Positive Engagement,0.5258
1056,8,One year,46.89,0,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.0212,0.797,0.1819,0,0.0,0.0,1.0,Account Query/Documentation help,0.3114
1057,14,Month-to-month,51.16,0,Extremely happy with the platform's performance this quarter. Keep up the good work.,0.0209,0.1538,0.8253,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.2197
1058,23,Month-to-month,89.79,2,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.8599,0.0802,0.0599,1,0.0834,0.1529,0.7637,SLA/Technical Product bugs,0.6316
1059,21,One year,80.26,1,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.0387,0.8785,0.0828,0,0.0,0.0,1.0,Account Query/Documentation help,0.215
1060,16,Month-to-month,139.77,3,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.8843,0.0683,0.0474,1,0.1446,0.2652,0.5902,Financial/Billing issues,0.6458
1061,18,One year,73.48,1,Extremely happy with the platform's performance this quarter. Keep up the good work.,0.0204,0.112,0.8675,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.2528
1062,24,One year,99.66,1,"Smooth onboarding experience, everything is highly intuitive and well-documented.",0.0316,0.1765,0.7918,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.2398
1063,26,Month-to-month,105.86,3,Your service has constant downtime. My team can't access our dashboard during market hours.,0.9271,0.0169,0.0561,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.3012
1064,25,Month-to-month,31.56,2,Terrible customer service. I've asked for a refund three times on this disputed contract.,0.8365,0.0571,0.1064,1,0.3531,0.1358,0.5111,Financial/Billing issues,0.6492
1065,29,Two year,109.61,0,Extremely happy with the platform's performance this quarter. Keep up the good work.,0.0083,0.1663,0.8254,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.2409
1066,15,Month-to-month,51.35,0,"Smooth onboarding experience, everything is highly intuitive and well-documented.",0.0143,0.2081,0.7776,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.2697
1067,1,Month-to-month,145.32,0,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.8376,0.1448,0.0175,1,0.1446,0.2652,0.5902,Financial/Billing issues,0.6255
1068,25,One year,47.83,0,Just checking if you support integration with external third-party webhooks yet.,0.1407,0.7353,0.1241,0,0.0,0.0,1.0,Account Query/Documentation help,0.2982
1069,7,Two year,79.74,1,Extremely happy with the platform's performance this quarter. Keep up the good work.,0.016,0.1939,0.79,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.2182
1070,9,Two year,40.23,2,Just checking if you support integration with external third-party webhooks yet.,0.0416,0.8308,0.1276,0,0.0,0.0,1.0,Account Query/Documentation help,0.3186
1071,24,One year,149.61,2,Looking for the official documentation regarding your authentication and security protocols.,0.072,0.8049,0.1231,0,0.0,0.0,1.0,Account Query/Documentation help,0.2949
1072,1,Month-to-month,90.25,2,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.9009,0.0667,0.0324,0,0.1446,0.2652,0.5902,Financial/Billing issues,0.6319
1073,8,Month-to-month,101.44,3,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.8947,0.1006,0.0047,1,0.0834,0.1529,0.7637,SLA/Technical Product bugs,0.6106
1074,24,One year,38.04,1,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.0295,0.8258,0.1447,0,0.0,0.0,1.0,Account Query/Documentation help,0.2997
1075,11,Month-to-month,119.99,0,Looking for the official documentation regarding your authentication and security protocols.,0.1191,0.8198,0.0611,0,0.0,0.0,1.0,Account Query/Documentation help,0.2878
1076,17,Month-to-month,55.18,0,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.1498,0.7243,0.1258,0,0.0,0.0,1.0,Account Query/Documentation help,0.2902
1077,8,Two year,137.76,2,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.0793,0.7855,0.1352,0,0.0,0.0,1.0,Account Query/Documentation help,0.2948
1078,35,Month-to-month,54.61,2,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.8394,0.1031,0.0575,0,0.0834,0.1529,0.7637,SLA/Technical Product bugs,0.6181
1079,35,Month-to-month,52.87,2,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.7696,0.1581,0.0723,1,0.0834,0.1529,0.7637,SLA/Technical Product bugs,0.6494
1080,33,Month-to-month,34.38,2,The UI update completely broke my active workflows. I am looking at alternative options.,0.8024,0.1919,0.0057,1,0.114,0.209,0.677,SLA/Technical Product bugs,0.2227
1081,5,Month-to-month,86.64,3,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.8344,0.16,0.0056,0,0.1446,0.2652,0.5902,Financial/Billing issues,0.7049
1082,28,Month-to-month,97.77,1,Looking for the official documentation regarding your authentication and security protocols.,0.1444,0.6973,0.1583,0,0.0,0.0,1.0,Account Query/Documentation help,0.2786
1083,7,Month-to-month,37.88,2,The UI update completely broke my active workflows. I am looking at alternative options.,0.7562,0.1875,0.0563,1,0.114,0.209,0.677,SLA/Technical Product bugs,0.2464
1084,9,Month-to-month,123.05,2,The UI update completely broke my active workflows. I am looking at alternative options.,0.8076,0.1643,0.0281,1,0.114,0.209,0.677,SLA/Technical Product bugs,0.217
1085,8,One year,84.38,0,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.1309,0.7166,0.1524,0,0.0,0.0,1.0,Account Query/Documentation help,0.2442
1086,12,One year,92.92,2,The new feature release works beautifully. Kudos to the engineering team for the speed boost!,0.0188,0.1938,0.7874,1,0.0,0.0,1.0,Positive Engagement,0.4958
1087,34,Month-to-month,82.88,0,Just checking if you support integration with external third-party webhooks yet.,0.0912,0.751,0.1578,0,0.0,0.0,1.0,Account Query/Documentation help,0.2903
1088,33,Two year,78.08,1,The new feature release works beautifully. Kudos to the engineering team for the speed boost!,0.0357,0.1046,0.8597,1,0.0,0.0,1.0,Positive Engagement,0.5301
1089,23,Month-to-month,97.15,2,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.877,0.0342,0.0889,0,0.0834,0.1529,0.7637,SLA/Technical Product bugs,0.7076
1090,24,Month-to-month,48.62,2,Your service has constant downtime. My team can't access our dashboard during market hours.,0.8581,0.0357,0.1063,1,0.0,0.0,1.0,SLA/Technical Product bugs,0.2619
1091,35,Two year,51.82,1,Support resolved my account login issue within five minutes. Fantastic service as usual.,0.0421,0.2028,0.7551,1,0.0,0.0,1.0,Positive Engagement,0.2232
1092,22,Month-to-month,133.4,0,Just checking if you support integration with external third-party webhooks yet.,0.1342,0.7695,0.0963,0,0.0,0.0,1.0,Account Query/Documentation help,0.2885
1093,27,Two year,143.52,2,"Thanks for fixing that minor dashboard bug so quickly, everything runs great now.",0.0269,0.2014,0.7718,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.2937
1094,35,Month-to-month,74.79,1,Extremely happy with the platform's performance this quarter. Keep up the good work.,0.0193,0.1935,0.7873,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.2717
1095,1,Two year,62.48,1,Your service has constant downtime. My team can't access our dashboard during market hours.,0.8641,0.1287,0.0072,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.2948
1096,35,Month-to-month,107.27,2,Your service has constant downtime. My team can't access our dashboard during market hours.,0.7849,0.145,0.0701,1,0.0,0.0,1.0,SLA/Technical Product bugs,0.2643
1097,14,Two year,79.04,0,Looking for the official documentation regarding your authentication and security protocols.,0.1283,0.7696,0.1022,0,0.0,0.0,1.0,Account Query/Documentation help,0.2675
1098,3,Month-to-month,33.04,0,Your service has constant downtime. My team can't access our dashboard during market hours.,0.8452,0.1486,0.0062,1,0.0,0.0,1.0,SLA/Technical Product bugs,0.257
1099,1,Two year,48.73,1,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.8623,0.1319,0.0058,1,0.1446,0.2652,0.5902,Financial/Billing issues,0.6128
1100,5,Month-to-month,115.91,2,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.8086,0.191,0.0004,1,0.1446,0.2652,0.5902,Financial/Billing issues,0.6219
1101,26,Month-to-month,109.06,2,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.7285,0.1882,0.0833,1,0.1446,0.2652,0.5902,Financial/Billing issues,0.6135
1102,14,Two year,33.24,0,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.0497,0.7809,0.1694,0,0.0,0.0,1.0,Account Query/Documentation help,0.28
1103,27,Month-to-month,56.63,0,Just checking if you support integration with external third-party webhooks yet.,0.1244,0.8085,0.0671,0,0.0,0.0,1.0,Account Query/Documentation help,0.2446
1104,9,One year,57.72,2,How can I download my annual tax invoice? I can't find the button on the settings page.,0.13,0.7801,0.0899,0,0.0,0.0,1.0,Financial/Billing issues,0.2659
1105,15,One year,110.62,4,How can I download my annual tax invoice? I can't find the button on the settings page.,0.0555,0.773,0.1715,0,0.0,0.0,1.0,Financial/Billing issues,0.3098
1106,15,Month-to-month,32.36,0,"Smooth onboarding experience, everything is highly intuitive and well-documented.",0.042,0.1923,0.7657,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.2374
1107,26,One year,42.48,0,Just checking if you support integration with external third-party webhooks yet.,0.1357,0.7954,0.0689,0,0.0,0.0,1.0,Account Query/Documentation help,0.2551
1108,13,Month-to-month,125.98,0,How can I download my annual tax invoice? I can't find the button on the settings page.,0.0178,0.8664,0.1158,0,0.0,0.0,1.0,Financial/Billing issues,0.2931
1109,32,Two year,51.42,2,How can I download my annual tax invoice? I can't find the button on the settings page.,0.097,0.73,0.173,0,0.0,0.0,1.0,Financial/Billing issues,0.2352
1110,32,Month-to-month,108.32,0,Looking for the official documentation regarding your authentication and security protocols.,0.0158,0.7853,0.1989,0,0.0,0.0,1.0,Account Query/Documentation help,0.2185
1111,4,Month-to-month,58.57,2,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.8209,0.138,0.0411,1,0.0834,0.1529,0.7637,SLA/Technical Product bugs,0.6419
1112,30,Two year,41.92,1,"Smooth onboarding experience, everything is highly intuitive and well-documented.",0.0046,0.063,0.9324,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.2277
1113,23,Two year,59.17,0,Looking for the official documentation regarding your authentication and security protocols.,0.0495,0.896,0.0545,0,0.0,0.0,1.0,Account Query/Documentation help,0.3123
1114,15,Month-to-month,116.66,2,Your service has constant downtime. My team can't access our dashboard during market hours.,0.9039,0.0431,0.053,1,0.0,0.0,1.0,SLA/Technical Product bugs,0.2989
1115,29,One year,132.67,3,How can I download my annual tax invoice? I can't find the button on the settings page.,0.1352,0.708,0.1568,0,0.0,0.0,1.0,Financial/Billing issues,0.2797
1116,13,Month-to-month,129.62,1,Support resolved my account login issue within five minutes. Fantastic service as usual.,0.0326,0.1081,0.8593,0,0.0,0.0,1.0,Positive Engagement,0.3059
1117,32,Month-to-month,77.65,1,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.1319,0.8057,0.0624,0,0.0,0.0,1.0,Account Query/Documentation help,0.2984
1118,7,Month-to-month,110.16,0,"Thanks for fixing that minor dashboard bug so quickly, everything runs great now.",0.0158,0.0637,0.9205,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.2305
1119,22,Month-to-month,54.59,1,Just checking if you support integration with external third-party webhooks yet.,0.0972,0.7713,0.1316,0,0.0,0.0,1.0,Account Query/Documentation help,0.3082
1120,28,Month-to-month,65.17,0,Just checking if you support integration with external third-party webhooks yet.,0.1327,0.6767,0.1906,0,0.0,0.0,1.0,Account Query/Documentation help,0.2693
1121,2,Month-to-month,137.55,2,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.9237,0.0583,0.018,0,0.1446,0.2652,0.5902,Financial/Billing issues,0.6988
1122,6,Two year,31.55,1,Looking for the official documentation regarding your authentication and security protocols.,0.0455,0.7886,0.1658,0,0.0,0.0,1.0,Account Query/Documentation help,0.3086
1123,28,Two year,40.25,1,Support resolved my account login issue within five minutes. Fantastic service as usual.,0.0505,0.0998,0.8497,0,0.0,0.0,1.0,Positive Engagement,0.245
1124,28,One year,54.94,4,Just checking if you support integration with external third-party webhooks yet.,0.1213,0.7164,0.1623,0,0.0,0.0,1.0,Account Query/Documentation help,0.2221
1125,20,Month-to-month,33.17,3,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.8017,0.1453,0.053,1,0.1446,0.2652,0.5902,Financial/Billing issues,0.6351
1126,30,Month-to-month,51.76,3,The UI update completely broke my active workflows. I am looking at alternative options.,0.8102,0.1742,0.0157,1,0.114,0.209,0.677,SLA/Technical Product bugs,0.257
1127,11,One year,99.95,1,Just checking if you support integration with external third-party webhooks yet.,0.0561,0.8155,0.1283,1,0.0,0.0,1.0,Account Query/Documentation help,0.3
1128,28,One year,80.56,1,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.037,0.7881,0.1748,0,0.0,0.0,1.0,Account Query/Documentation help,0.3047
1129,25,Month-to-month,137.11,2,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.8778,0.1003,0.0219,1,0.1446,0.2652,0.5902,Financial/Billing issues,0.6108
1130,33,Two year,128.08,3,Looking for the official documentation regarding your authentication and security protocols.,0.0848,0.7716,0.1436,0,0.0,0.0,1.0,Account Query/Documentation help,0.2662
1131,1,One year,71.01,3,The UI update completely broke my active workflows. I am looking at alternative options.,0.8032,0.113,0.0838,0,0.114,0.209,0.677,SLA/Technical Product bugs,0.2559
1132,27,Two year,61.12,1,Just checking if you support integration with external third-party webhooks yet.,0.1074,0.7508,0.1417,0,0.0,0.0,1.0,Account Query/Documentation help,0.2344
1133,13,One year,75.55,3,The new feature release works beautifully. Kudos to the engineering team for the speed boost!,0.0082,0.2004,0.7914,0,0.0,0.0,1.0,Positive Engagement,0.4732
1134,3,One year,100.83,1,Your service has constant downtime. My team can't access our dashboard during market hours.,0.8967,0.0547,0.0486,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.2471
1135,6,Month-to-month,62.16,1,Support resolved my account login issue within five minutes. Fantastic service as usual.,0.0474,0.085,0.8676,0,0.0,0.0,1.0,Positive Engagement,0.3137
1136,8,Two year,104.89,1,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.0569,0.7733,0.1698,0,0.0,0.0,1.0,Account Query/Documentation help,0.2456
1137,27,Two year,79.12,1,Just checking if you support integration with external third-party webhooks yet.,0.0444,0.8063,0.1493,0,0.0,0.0,1.0,Account Query/Documentation help,0.2671
1138,9,Month-to-month,96.24,1,Looking for the official documentation regarding your authentication and security protocols.,0.1018,0.8327,0.0655,0,0.0,0.0,1.0,Account Query/Documentation help,0.2873
1139,33,Month-to-month,82.33,0,"Is it possible to upgrade my tier package mid-month, and how will the pricing be prorated?",0.1284,0.6924,0.1792,0,0.0,0.0,1.0,Account Query/Documentation help,0.25
1140,24,Month-to-month,65.33,1,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.0525,0.8202,0.1273,0,0.0,0.0,1.0,Account Query/Documentation help,0.3169
1141,15,One year,143.8,0,"Smooth onboarding experience, everything is highly intuitive and well-documented.",0.0135,0.1207,0.8659,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.3159
1142,32,Two year,121.62,2,"Thanks for fixing that minor dashboard bug so quickly, everything runs great now.",0.0261,0.1917,0.7823,1,0.0,0.0,1.0,SLA/Technical Product bugs,0.2377
1143,32,Month-to-month,46.8,1,Extremely happy with the platform's performance this quarter. Keep up the good work.,0.0121,0.1535,0.8344,0,0.0,0.0,1.0,SLA/Technical Product bugs,0.2647
1144,24,Month-to-month,134.21,2,The UI update completely broke my active workflows. I am looking at alternative options.,0.8344,0.1405,0.0251,1,0.114,0.209,0.677,SLA/Technical Product bugs,0.2431
1145,12,Month-to-month,88.48,0,Just checking if you support integration with external third-party webhooks yet.,0.0134,0.8296,0.157,0,0.0,0.0,1.0,Account Query/Documentation help,0.2413
1146,2,Two year,137.34,1,Billing is broken. Charged twice this month and nobody in support is answering my chats.,0.7868,0.1835,0.0297,0,0.1446,0.2652,0.5902,Financial/Billing issues,0.6141
1147,3,One year,125.97,1,The UI update completely broke my active workflows. I am looking at alternative options.,0.8494,0.1103,0.0403,1,0.114,0.209,0.677,SLA/Technical Product bugs,0.2771
1148,17,One year,81.02,2,Looking for the official documentation regarding your authentication and security protocols.,0.0528,0.7765,0.1707,0,0.0,0.0,1.0,Account Query/Documentation help,0.2653
1149,2,Month-to-month,32.69,3,The UI update completely broke my active workflows. I am looking at alternative options.,0.7816,0.1423,0.076,1,0.114,0.209,0.677,SLA/Technical Product bugs,0.2157
1150,2,Month-to-month,62.23,0,The UI update completely broke my active workflows. I am looking at alternative options.,0.9168,0.0481,0.0351,0,0.114,0.209,0.677,SLA/Technical Product bugs,0.2407
1151,28,Month-to-month,94.99,0,The new feature release works beautifully. Kudos to the engineering team for the speed boost!,0.0174,0.1041,0.8785,0,0.0,0.0,1.0,Positive Engagement,0.5599
1152,23,Month-to-month,106.01,2,This platform is too complicated and slow. I want to cancel my auto-renewal immediately.,0.8676,0.0679,0.0644,0,0.0834,0.1529,0.7637,SLA/Technical Product bugs,0.6364
1153,32,Two year,60.94,1,Could someone explain the main feature differences between the Professional and Enterprise tiers?,0.0908,0.8464,0.0628,0,0.0,0.0,1.0,Account Query/Documentation help,0.2259
1154,33,One year,46.71,2,Looking for the official documentation regarding your authentication and security protocols.,0.1332,0.7389,0.1279,0,0.0,0.0,1.0,Account Query/Documentation help,0.2638
1155,1,Two year,130.18,1,The UI update completely broke my active workflows. I am looking at alternative options.,0.9295,0.0495,0.021,1,0.114,0.209,0.677,SLA/Technical Product bugs,0.3184
